malli,tiedosto,kieli,kesto_s,aika_s,reaaliaikakerroin,oikea_teksti,tunnistus
tiny,aaninayte_nopea.wav,fi,5.91,7.82,1.32,Puhun vähän nopeammin ja epäselvemmin jotta nähdään kuinka hyvin puheentunnistus toimii kun ääntäminen ei ole täysin selkeää,"Puhulvahan nopeammin ja epäselvämin, jolla nähdään kuinka hyvin puheen tunnistustoimin kuin aantaminen ja ja laittää yksin selkeä."
tiny,english_sample1.wav,en,8.81,4.3,0.49,This is a short English speech sample for testing how well the program recognizes another language,T.C. is a short English-peed sample for testing how well the program recognizes another language.
tiny,english_sample2.wav,en,9.24,3.34,0.36,This is a short English speech sample for testing how well Whisper recognizes another language,This is a short English speed sample for testing how well whisper recognizes another language.
tiny,english_sample3.wav,en,6.08,4.1,0.68,This is a short English speech sample for testing how well Whisper recognizes another language,This is a short English speech sample for testing how well these per record passes on a trot language.
tiny,english_sample_fast.wav,en,4.71,4.25,0.9,This is a short English speech sample for testing how well Whisper recognizes another language,This is a shorting speed sample for testing how well vis-pro record passes on other language.
tiny,murre_aaninayte.wav,fi,4.37,4.8,1.1,Puhun ihan hissukseen ja koitan sannoo sanat niin selekeesti ku ossoon,"hieni histukseen, koita sanon sanot niin seläkestekku ossoa."
tiny,murre_aaninayte2.wav,fi,4.97,5.14,1.03,Mie puhun ihan hissukseen ja koetan sannoo sanat mahollisimman selekeesti,"Mietpuhun ihan hisuksia ja koetaan sanossa on, että mahdollisimman seläkestin."
tiny,selkea_puhe.wav,fi,9.75,9.32,0.96,Tämä on selkeä suomenkielinen ääninäyte. Kiinnitän huomiota siihen että puhun tasaisesti ja ääntäminen on selkeää,"Tämä on selkeä Suomen kielenen äänen äänenäytä. Kiinit on huomioita siihen, että puhuntasaisesti ja ääntäminen on selkeää."
tiny,selkea_puhe_1.wav,fi,15.0,9.05,0.6,Suomen kieli. Suomen kieli kuuluu urarilaiseen kielikuntaan ja sen suomalaisukrilaisen haaran itämeren suomalaisiin kieliin. Suomen kielen puhujia on noin kuusi miljoonaa.,Suomen kielikuluurallilaisen kielikuntaan ja sen suomalaisukkilaisen haaran itäveren suomalaisiin kieliin Suomen kielen puhujia on noin kuusimiljona.
tiny,selkea_puhe_2.wav,fi,15.0,3.67,0.24,Suomen kielisiä väestöryhmiä on Pohjois-Ruotsissa meänkielenpuhujat Norjassa kveenit sekä Inkerissä missä suomen kieli on tuhat yhdeksän sataa luvun mittaan su,Suomen keli on tyydyksen saadaan luon mittaan suuri.
tiny,selkea_puhe_3.wav,fi,15.0,10.78,0.72,Tän uudempia suomalaisryhmiä Eurooppaan sekä etenkin tuhat kahdeksan sataa luvulla Pohjois-Amerikkaan jossa suurin osa siirtolaisia on kuitenkin jo kielellisesti sulautunut su,"Uudenpia Suomalaisuithmiä on syntynyt elroppaan sekä etenkin tuohat kadeksansa taluvulla pohjoisamerikkaan, jossa suurin osasirta laisiaan kuitenkin jo kielellisesti sulautunut."
tiny,selkea_puhe_4.wav,fi,15.0,11.96,0.8,Men muuttoliikkeen tuloksena Ruotsiin. Suomen kieli on voimakkaasti taipuva aglutinoiva kieli. Sanajärjestys on toissijainen ja lauseenjäsenten perusjärjestys on su,"muuttoliikkentuloksena ruotsiin. Suomen kieli on voimakkaasti tai pova, algelutinoivakielin. Sanajärjestys on toisiainen ja lauseen ja senten perusjärjestys on sukellaan."
tiny,selkea_puhe_5.wav,fi,15.0,3.84,0.26,Suomen kieli. Suomen kieli kuuluu urarilaiseen kielikuntaan ja sen suomalaisukrilaisen haaran itämeren suomalaisiin kieliin. Suomen kielen puhujia on noin kuusi miljoonaa.,Suomen kielikuluurailaisen kielikuntaan ja sen suomalaisuukkilaisen haram itäveren suomalaisiin kieliin Suomen kielen puhujia on noin kuusimiljona.
tiny,taustahaly.wav,fi,7.7,5.86,0.76,Tämä ääninäyte on nauhoitettu taustahälyn kanssa. Haluan testata tunnistaako ohjelma puheen myös vaikeammassa tilanteessa.,"Tämä on näytä on lautettu taustahely on kanssa. Lua on testotat tunnistakohjema puheen myös vaikea, mutta tilanteessa."
base,aaninayte_nopea.wav,fi,5.91,10.98,1.86,Puhun vähän nopeammin ja epäselvemmin jotta nähdään kuinka hyvin puheentunnistus toimii kun ääntäminen ei ole täysin selkeää,"Puhun vähän nopeammin ja epäselvämin, jotta nähdään kuinka hyvin puheen tunnistus toimii kuin aantaminen ja jälattää sinne selkeä."
base,english_sample1.wav,en,8.81,5.64,0.64,This is a short English speech sample for testing how well the program recognizes another language,This is a short English speech sample for testing how well the program recognizes another language.
base,english_sample2.wav,en,9.24,5.6,0.61,This is a short English speech sample for testing how well Whisper recognizes another language,This is a short English speech sample for testing how well Whisper recognizes another language.
base,english_sample3.wav,en,6.08,6.08,1.0,This is a short English speech sample for testing how well Whisper recognizes another language,is a short English speech sample for testing how well we use per recognition as a natural language.
base,english_sample_fast.wav,en,4.71,5.97,1.27,This is a short English speech sample for testing how well Whisper recognizes another language,This is a short English speech sample for testing how a Whisper recognizes another language.
base,murre_aaninayte.wav,fi,4.37,6.22,1.42,Puhun ihan hissukseen ja koitan sannoo sanat niin selekeesti ku ossoon,ja hissuksia ja koita sanot niin seläkästikko ossaan.
base,murre_aaninayte2.wav,fi,4.97,7.22,1.45,Mie puhun ihan hissukseen ja koetan sannoo sanat mahollisimman selekeesti,Mien puhun ihan hissukse ja koitan sanon sanat mahdollisimman seläkästi.
base,selkea_puhe.wav,fi,9.75,10.75,1.1,Tämä on selkeä suomenkielinen ääninäyte. Kiinnitän huomiota siihen että puhun tasaisesti ja ääntäminen on selkeää,"Tämä on selkeä Suomen kielinen aanninäötä. Kiinnit on huomioita siihen, että puhun tasaisesti ja aantaminen on selkeää."
base,selkea_puhe_1.wav,fi,15.0,16.59,1.11,Suomen kieli. Suomen kieli kuuluu urarilaiseen kielikuntaan ja sen suomalaisukrilaisen haaran itämeren suomalaisiin kieliin. Suomen kielen puhujia on noin kuusi miljoonaa.,"Suomen kieli, suomen kieli kuuluu uralilaisen kieli kuntaan ja sen suomalaisuukkrilaisen haaran itäveren suomalaisiin kieliin. Suomen kielen puhujia on noin 6 miljoonaa."
