malli,tiedosto,kieli,kesto_s,aika_s,reaaliaikakerroin,oikea_teksti,tunnistus,WER
tiny,selkea_puhe.wav,fi,9.75,1.05,0.11,T?m? on selke? suomenkielinen ??nin?yte. Puhun rauhallisesti ja yrit?n ??nt?? sanat mahdollisimman tarkasti.,"Tämä on selkeä Suomen kielenen äänen äänenäytä. Kiinit on huomioita siihen, että puhuntasaisesti ja ääntäminen on selkeää.",1.2307692307692308
tiny,taustahaly.wav,fi,7.7,0.83,0.11,"T?m? ??nin?yte on nauhoitettu taustah?lyn kanssa. Tarkoitus on testata, tunnistaako Whisper puheen my?s vaikeammassa tilanteessa.","Tämä on näytä on lautettu taustahely on kanssa. Lua on testotat tunnistakohjema puheen myös vaikea, mutta tilanteessa.",0.8666666666666667
tiny,aaninayte_nopea.wav,fi,5.91,1.05,0.18,"Nyt puhun v?h?n nopeammin ja ep?selvemmin, jotta n?hd??n kuinka hyvin puheentunnistus toimii, kun ??nt?minen ei ole aivan rauhallista.","Puhulvahan nopeammin ja epäselvämin, jolla nähdään kuinka hyvin puheen tunnistustoimin kuin aantaminen ja ja laittää yksin selkeä.",0.8333333333333334
tiny,murre_aaninayte.wav,fi,4.37,0.61,0.14,"No miep? sanon t?m?n v?h?n rennommin, ett? n?hd??n miten malli p?rj??, kun puhe ei ole ihan kirjakielt?.","hieni histukseen, koita sanon sanot niin seläkestekku ossoa.",1.0
tiny,english_sample_fast.wav,en,4.71,0.53,0.11,This is a short English speech sample for testing how well Whisper recognizes another language.,This is a shorting speed sample for testing how well vis-pro record passes on other language.,0.5333333333333333
base,selkea_puhe.wav,fi,9.75,1.82,0.19,T?m? on selke? suomenkielinen ??nin?yte. Puhun rauhallisesti ja yrit?n ??nt?? sanat mahdollisimman tarkasti.,"Tämä on selkeä Suomen kielinen aanninäötä. Kiinnit on huomioita siihen, että puhun tasaisesti ja aantaminen on selkeää.",1.2307692307692308
base,taustahaly.wav,fi,7.7,1.79,0.23,"T?m? ??nin?yte on nauhoitettu taustah?lyn kanssa. Tarkoitus on testata, tunnistaako Whisper puheen my?s vaikeammassa tilanteessa.",Tämä on näytöön nauhoitettu taustahälön kanssa. Alue on testata tunnistakouhelman puheen myös vaikeamassa tilanteessa.,0.6666666666666666
base,aaninayte_nopea.wav,fi,5.91,1.75,0.3,"Nyt puhun v?h?n nopeammin ja ep?selvemmin, jotta n?hd??n kuinka hyvin puheentunnistus toimii, kun ??nt?minen ei ole aivan rauhallista.","Puhun vähän nopeammin ja epäselvämin, jotta nähdään kuinka hyvin puheen tunnistus toimii kuin aantaminen ja jälattää sinne selkeä.",0.7777777777777778
base,murre_aaninayte.wav,fi,4.37,1.08,0.25,"No miep? sanon t?m?n v?h?n rennommin, ett? n?hd??n miten malli p?rj??, kun puhe ei ole ihan kirjakielt?.",ja hissuksia ja koita sanot niin seläkästikko ossaan.,1.0
base,english_sample_fast.wav,en,4.71,1.0,0.21,This is a short English speech sample for testing how well Whisper recognizes another language.,This is a short English speech sample for testing how a Whisper recognizes another language.,0.06666666666666667
