malli,tiedosto,kieli,kesto_s,aika_s,reaaliaikakerroin,oikea_teksti,tunnistus
tiny,aaninayte_nopea.wav,fi,5.91,1.15,0.19,,"Puhulvahan nopeammin ja epäselvämin, jolla nähdään kuinka hyvin puheen tunnistustoimin kuin aantaminen ja ja laittää yksin selkeä."
tiny,english_sample1.wav,en,8.81,0.61,0.07,,T.C. is a short English-peed sample for testing how well the program recognizes another language.
tiny,english_sample2.wav,en,9.24,0.44,0.05,,This is a short English speed sample for testing how well whisper recognizes another language.
tiny,english_sample3.wav,en,6.08,0.53,0.09,,This is a short English speech sample for testing how well these per record passes on a trot language.
tiny,english_sample_fast.wav,en,4.71,0.61,0.13,,This is a shorting speed sample for testing how well vis-pro record passes on other language.
tiny,murre_aaninayte.wav,fi,4.37,0.67,0.15,,"hieni histukseen, koita sanon sanot niin seläkestekku ossoa."
tiny,murre_aaninayte2.wav,fi,4.97,0.72,0.14,,"Mietpuhun ihan hisuksia ja koetaan sanossa on, että mahdollisimman seläkestin."
tiny,selkea_puhe.wav,fi,9.75,1.24,0.13,,"Tämä on selkeä Suomen kielenen äänen äänenäytä. Kiinit on huomioita siihen, että puhuntasaisesti ja ääntäminen on selkeää."
tiny,selkea_puhe_1.wav,fi,15.0,1.52,0.1,,Suomen kielikuluurallilaisen kielikuntaan ja sen suomalaisukkilaisen haaran itäveren suomalaisiin kieliin Suomen kielen puhujia on noin kuusimiljona.
tiny,selkea_puhe_2.wav,fi,15.0,0.55,0.04,,Suomen keli on tyydyksen saadaan luon mittaan suuri.
tiny,selkea_puhe_3.wav,fi,15.0,1.54,0.1,,"Uudenpia Suomalaisuithmiä on syntynyt elroppaan sekä etenkin tuohat kadeksansa taluvulla pohjoisamerikkaan, jossa suurin osasirta laisiaan kuitenkin jo kielellisesti sulautunut."
tiny,selkea_puhe_4.wav,fi,15.0,1.39,0.09,,"muuttoliikkentuloksena ruotsiin. Suomen kieli on voimakkaasti tai pova, algelutinoivakielin. Sanajärjestys on toisiainen ja lauseen ja senten perusjärjestys on sukellaan."
tiny,selkea_puhe_5.wav,fi,15.0,1.19,0.08,,Suomen kielikuluurailaisen kielikuntaan ja sen suomalaisuukkilaisen haram itäveren suomalaisiin kieliin Suomen kielen puhujia on noin kuusimiljona.
tiny,taustahaly.wav,fi,7.7,0.96,0.12,,"Tämä on näytä on lautettu taustahely on kanssa. Lua on testotat tunnistakohjema puheen myös vaikea, mutta tilanteessa."
base,aaninayte_nopea.wav,fi,5.91,1.46,0.25,,"Puhun vähän nopeammin ja epäselvämin, jotta nähdään kuinka hyvin puheen tunnistus toimii kuin aantaminen ja jälattää sinne selkeä."
base,english_sample1.wav,en,8.81,0.77,0.09,,This is a short English speech sample for testing how well the program recognizes another language.
base,english_sample2.wav,en,9.24,0.82,0.09,,This is a short English speech sample for testing how well Whisper recognizes another language.
base,english_sample3.wav,en,6.08,0.9,0.15,,is a short English speech sample for testing how well we use per recognition as a natural language.
base,english_sample_fast.wav,en,4.71,0.91,0.19,,This is a short English speech sample for testing how a Whisper recognizes another language.
base,murre_aaninayte.wav,fi,4.37,1.02,0.23,,ja hissuksia ja koita sanot niin seläkästikko ossaan.
base,murre_aaninayte2.wav,fi,4.97,1.08,0.22,,Mien puhun ihan hissukse ja koitan sanon sanat mahdollisimman seläkästi.
base,selkea_puhe.wav,fi,9.75,1.46,0.15,,"Tämä on selkeä Suomen kielinen aanninäötä. Kiinnit on huomioita siihen, että puhun tasaisesti ja aantaminen on selkeää."
base,selkea_puhe_1.wav,fi,15.0,1.87,0.12,,"Suomen kieli, suomen kieli kuuluu uralilaisen kieli kuntaan ja sen suomalaisuukkrilaisen haaran itäveren suomalaisiin kieliin. Suomen kielen puhujia on noin 6 miljoonaa."
base,selkea_puhe_2.wav,fi,15.0,1.77,0.12,,"Kielisiä väestöryhmää on Pohjois-Ruotsissa, meän kielen puhujat, norjassa, kvenit, sekä inkerissä, missä Suomen kieli on tua 90 talvun mittaan suurin"
base,selkea_puhe_3.wav,fi,15.0,1.83,0.12,,"Tätä uudenpia Suomalaislyhmia on syntynyt Eurooppaan sekä etenkin 1800-luvulla Pohjoisamerikkaan, jossa suurin osa siirtolaisia on kuitenkin jo kielellisesti sulautunut."
base,selkea_puhe_4.wav,fi,15.0,1.86,0.12,,"muuttodikentulaksena ruotsii. Suomen kieli on voimakkaasti taipova, algolutinoiva kieli. Sana järjestys on toissiainen ja lauseen jäsenten perusjärjestys on suppu."
base,selkea_puhe_5.wav,fi,15.0,1.92,0.13,,"Suomen kieli, suomen kieli kuuluu uralilaisen kielikuntaan ja sen suomalaisuukkrilaisen haaran itäveren suomalaisiin kieliin. Suomen kielen puhujia on noin 6 miljoonaa."
base,taustahaly.wav,fi,7.7,1.44,0.19,,Tämä on näytöön nauhoitettu taustahälön kanssa. Alue on testata tunnistakouhelman puheen myös vaikeamassa tilanteessa.
