config,prompt,temperature,generated_text
fast,Vaka vanha Väinämöinen,0.4,"Vaka vanha Väinämöinen, käeten, valettavan. Sanan virkkoi, palkkalaiset. Itse tuon sanoiksi virkki: ""Jo täällä tämän joukon joutuisampi, noin nimesi: 'Ei ole iso elossa, kun sauvan kalan lihan tulisit, niin säkene, väki vanha Väinämöinen! Kun itket, kun samoamahan, kaikki toimettava, kun tulet toisehen talohon!"" Kullervo, Kalervon poika, Kalervon poika, takoja iän-ikuinen, sinisukka äijön lapsi, itse tuon sanoiksi virkki: ""En mäet kuolleheksi, kun ei ole valmis valvattisi, kun samoamahan, kuin sanelen, kuin on saatu,"
fast,Vaka vanha Väinämöinen,0.8,"Vaka vanha Väinämöinen. Kysyi seppo Ilmarinen, saaren manterella, lylittamahan, jotta säilällä, käärmehisen. Kysytteli, kantoi aaltojen syvien kultakannen kaivonylmilkevän; olipoa noita itse lausui ja valittuvalle puhkalta, rapoakana."" Vaka vanha Väinämöinen itse virkki, kauan puutoksessa: ""En huoli eikä varsin vastaeli, kun tulit Manalle saattoi?"" Sanoi Pohjolan isäntä! Sano kynnen tulevat: ""Oi Ukko tuo on vettä, kuta Tuonelan joesta, urohiasi! Souaallmille, Manaluulla, kantajani, vaimo vanha Väinämöinen, likeltäsilmä ker"
fast,Vaka vanha Väinämöinen,1.0,"Vaka vanha Väinämöinen: panin tuhonnut ri korjkkanen vetäisi. Itse tuon sanoiksi virkki: ""Jo täällä, varahtaite levitti, sinisot arjalle, ikävä, oman maammonsa kuullakseni. Hauki ja laululle."" Se on laskemänki portahalla kolmea sanoa saata vitsanet olen vettä vastahansa. Iski puuta purnytolta tamman: näki eränsä, hiet juuria, re'essä, etsimättä, meren selälle?"" Siitä vanha Väinämöinen. Kokkoman kylähän syöä lieto Lemminkäinen sai sanovi sanalla tuolla lausehella: ""Muista lietsi, taoitti: '"
fast,Vaka vanha Väinämöinen,1.3,"Vaka vanha Väinämöinen nousevilla, somisilta tape molemminista."" Vuollat maosta. Kenet jakko kullaista liepehiltä, taivon kumoit kujitti; vieri toinen ilkeäntisi, aivanreämmet Osmon uuen tammenkänä. Kullervoki mennessänsä, samma, ajoi maita polvenikänä. Anna varaksi. Isoansa uiimmat, ajattelevi läksi mie jalka Ilmarin emäntä pitkihin a sulle kohtijat karjoilla vesvarröpenkuloa, puolen Pohjan miesi Pohjolan lietsehessaelle mielet kuulu, kosken: aina alla, metisilläsi: ""Jikin: soisti, hav"
fast,Mieleni minun tekevi,0.4,"Mieleni minun tekevi, sivulla, alle. ""Jo vainen, etemmä, ilkeämpi, kup' on kuin on toiste tullessasi, tuskihin pitoihin, kuin sanelen! Siell' on kuin sanelen! Kuleukaisin, metsän emännän, kun on täynnä kuumottavi. Lemmon leppä leppoivat, kaikki ilveksen alentamasta, apen, ahjojen tekijä, härän sarvista morsianta."" Siitä vanha Väinämöinen, hänpä tuon sanoiksi virkki: ""Tujen tekijä, noin nimesi: ""Kun ei ole tässä nuorisossa, kun sa' on kaunis kantajani, kun samoa su"
fast,Mieleni minun tekevi,0.8,"Mieleni minun tekevi, päivän, siivenillä, silmät. ""Piett'in kuuluveiset kalahaiset rakenneheksi, jät vaikeampi. Let vyö vaski valehet veten mäettöille, tieolta, sekä hiivästoista runo Siitä vanha Väinämöinen, maan tulena, juotuja manterentoani, puoltakettuolle! Koho käyäksesi, vasarvet pitkät pöyän alenti helmisessä, näestä, verrat sijoille, kussasi pi'in, alenti. Sanan virkkoi, noin nimesi: ""Jo täällä"
fast,Mieleni minun tekevi,1.0,"Mieleni minun tekevi. ""Kun eteltu, kun kävijällä lekutellen rajoilla, joka lietsomahan, tämän muuta sata sanonkolmatta, päivä raata, solmi, silloin kyntimiksi, vai kaukoa on huomen kuusinkalinnun lentämähän. Puueksi käyä Untamonikuinen, millä maahan vietäkähän, tuota katsomahan ahjonsa alusta, itki miel'an luotehelle, ka mailla. Siinä itki pitkät, päivän paistamasta, liukumahan. Ei tuosta toisna yönä luo'etty koivuinen pimeästä sisähän, lusi kirjokorjiksi tuimilta veen emäntä, tiestä vuotta kuusi havuiksi, air"
fast,Mieleni minun tekevi,1.3,"Mieleni minun tekeviksi, lapsilunna.""ä manoilla."" Otti vuoheämahan."" sanoi tuonne vasarauti sylissä neuvottamaista.imme rahilta ajavi pahasiänsä, rantainen kuttahuisensa liioinkana, niin valua kotollinen, punaiseksi ykerrehinkäiset jät hiileitsuien vettä vuotehessa tulinen taivahasta, Ukko vuotta, nuorisossakea karehtelevi: kivet kylmit polkemättälaisen kukkuloitse. Nelle ku vastahansa laulan pajaha lintu, lietsoi toisen jäh putosi. Virkkoi lieto Lemminkäinen kunne tuhma unista saatatuelle,"
fast,Pohjan neito,0.4,"Pohjan neitoseksi, pääytän Manan maista, hope'ille, kun ei ole valmis valvatelta, kun ei ole hyvän immen hyppysihin. ""Jo vainen, kuin on mies pahimmilyiset, et pääse päiväksi, niin miks' ei ole huolta itsel' en mä tuostana totellut, kuin tämän kosijat, kun ei tavannut, imettäjäni, ei ole talossa tässä nuorisossa eikä aivan aika-ikuinen, ajatteltäsi, vaihoit armahan emonsa, rahkehille, ei ole kokkoasi, ei ole tässä nuorisossa nousekana, ei ole sitä urosta eikä nähty eikä varsin vastaeli: """
fast,Pohjan neito,0.8,"Pohjan neitoseksi, porstu sulhosen, ishiset. Ei sitä kosijan katista!"" Neiti vastahaniset! Anna, sylen syvät miesten puu matoset, koirat, veräjä. Jo oli tammi pikkuruisen; veti vitsa viiakostatua raavynen saa'an. Se on kullallensa, koivuisen uuen sammon, väänti päätä, lähtemästä Lemminkäistä. Siinäosilmi taiten vastaeli: ""Ohoh kaunis Pohjan tytti, vaimo milloin, tao rautapa kuuli kummuttu, Hiien hirvi, veen emonen, pulsahiksi, laukeasta, vievät. Äsken vetehen,"
fast,Pohjan neito,1.0,"Pohjan neitoseksi."" Lyhyhokset, niin; senpättömäksi, taivasvarinnan vihastui, Jumalan: ei urosta, riuulle. Itse tuon on saatuansa, käärmilä veitikkä verevä, petäjäyi karet suohon sorsemahan pimeästä perästä, seppo Ilmarinen hakuhunkileivän leipojaksiansa sukesi, maalle tyrahtaisi. ""Kävi pihkeni revitti oksilleni maltajätä ikihinkäelevi pirtti, hätäilohelattu käärmehisenäät hurvikosta. Laski istuehtivi. Taittoi terävän emonsa, vasen"
fast,Pohjan neito,1.3,"Pohjan neitottama pystyyisin pauat, kahen kattiloissa, kaulan karehesti kultaiksen on aiaipi mättähällevina reisin;äsneljättä runooissa. Sai kaaren sortajaksi, lähtemästä pääs Untoa rukka, salamyttele! Muun lah vaiska nuori Joukahainen aivan jou sano lehtikkittelevi merehen, enkuan pitosista vastoavat sanoma voivat oluettihe vasen hajotti, kulet kasvattin, kuin valkenet etehen; ojan jälkisenkana?' ""Enp'en, hoi kuitenki lupasi lähteäksensä luahoiksi väkeä tahikka"
quality,Vaka vanha Väinämöinen,0.4,"Vaka vanha Väinämöinen, kylitse noita mielellä pitkän miehen. Siinä itki päivän, itki toisen. Ei hän itkenyt tupoa eikä aittoa halannut: itki tuttua tuvassa, aitallista armastansa. Heti virsikäs Vipunen aikojansa, tuo vanha Väinämöinen löyä laatiani. Liitti venyn utuisen, lomuvi paisti, silmin kätösin, läiköttäviäni kummulle, kun ei kuulu jo tulevan morsianta pyytämähän, anelemahan."" Emo etsi eksynyttä, kaonnutta kaipoavi. Juoksi suuret suot suten, kulki korvet kontiona, ve'"
